,NAME,S1901_C04_012E
331,ZCTA5 01581,60508
332,ZCTA5 01583,55430
333,ZCTA5 01585,30040
334,ZCTA5 01588,43737
335,ZCTA5 01590,64008
336,ZCTA5 01602,40967
337,ZCTA5 01603,29933
338,ZCTA5 01604,48857
339,ZCTA5 01605,34467
340,ZCTA5 01606,50281
341,ZCTA5 01607,41296
342,ZCTA5 01608,39653
343,ZCTA5 01609,29454
344,ZCTA5 01610,24087
345,ZCTA5 01611,61181
346,ZCTA5 01612,80000
347,ZCTA5 01701,58857
348,ZCTA5 01702,48306
349,ZCTA5 01718,-
350,ZCTA5 01719,54100
351,ZCTA5 01720,58042
352,ZCTA5 01721,75191
353,ZCTA5 01730,78333
354,ZCTA5 01731,31250
355,ZCTA5 01740,106336
356,ZCTA5 01741,-
357,ZCTA5 01742,71063
358,ZCTA5 01745,140000
359,ZCTA5 01746,51816
360,ZCTA5 01747,41146
361,ZCTA5 01748,57813
362,ZCTA5 01749,51103
363,ZCTA5 01752,53427
364,ZCTA5 01754,46250
365,ZCTA5 01756,62548
366,ZCTA5 01757,46622
367,ZCTA5 01760,60471
368,ZCTA5 01770,64750
369,ZCTA5 01772,60662
370,ZCTA5 01773,61786
371,ZCTA5 01775,62900
372,ZCTA5 01776,62500
373,ZCTA5 01778,80114
374,ZCTA5 01801,61809
375,ZCTA5 01803,54586
376,ZCTA5 01810,64382
377,ZCTA5 01821,73281
378,ZCTA5 01824,64861
379,ZCTA5 01826,49440
380,ZCTA5 01827,54250
381,ZCTA5 01830,40259
382,ZCTA5 01832,48568
383,ZCTA5 01833,61573
384,ZCTA5 01834,67308
385,ZCTA5 01835,70000
386,ZCTA5 01840,17898
387,ZCTA5 01841,19875
388,ZCTA5 01843,36513
389,ZCTA5 01844,45608
390,ZCTA5 01845,56968
391,ZCTA5 01850,44653
392,ZCTA5 01851,44980
393,ZCTA5 01852,42217
394,ZCTA5 01854,43918
395,ZCTA5 01860,55446
396,ZCTA5 01862,68173
397,ZCTA5 01863,70735
398,ZCTA5 01864,60438
