START DATE(UTC), END DATE(UTC), START TIME(LOCAL), END TIME(LOCAL), DURATION, NAME, LOCATION, NOTE
2/8/20 20:16, 2020-02-08 21:27:19, 2020-02-08 12:16:02 PST, 2020-02-08 13:27:19 PST,4277, Run, Cal Poly Recreation Center, 
2/8/20 20:56, 2020-02-08 21:12:22, 2020-02-08 12:56:52 PST, 2020-02-08 13:12:22 PST,930, Run, , 
2/8/20 21:27, 2020-02-08 21:30:45, 2020-02-08 13:27:21 PST, 2020-02-08 13:30:45 PST,204, Transport, , 
2/8/20 21:30, 2020-02-08 21:54:46, 2020-02-08 13:30:45 PST, 2020-02-08 13:54:46 PST,1441, Home, , 
2/8/20 22:07, 2020-02-08 22:26:34, 2020-02-08 14:07:17 PST, 2020-02-08 14:26:34 PST,1157, Transport, , 
2/8/20 22:26, 2020-02-08 22:54:31, 2020-02-08 14:26:34 PST, 2020-02-08 14:54:31 PST,1677, Fun, , 
2/8/20 23:19, 2020-02-08 23:31:00, 2020-02-08 15:19:55 PST, 2020-02-08 15:31:00 PST,665, Transport, , 
2/8/20 23:31, 2020-02-08 23:59:47, 2020-02-08 15:31:00 PST, 2020-02-08 15:59:47 PST,1727, Groceries, Target, 
2/9/20 0:00, 2020-02-09 00:10:17, 2020-02-08 16:00:10 PST, 2020-02-08 16:10:17 PST,607, Transport, , 
2/9/20 0:10, 2020-02-09 00:57:28, 2020-02-08 16:10:17 PST, 2020-02-08 16:57:28 PST,2831, Fun, , 
2/9/20 0:57, 2020-02-09 01:08:46, 2020-02-08 16:57:28 PST, 2020-02-08 17:08:46 PST,678, Transport, , 
2/9/20 1:08, 2020-02-09 03:19:49, 2020-02-08 17:08:46 PST, 2020-02-08 19:19:49 PST,7863, Home, , 
2/9/20 3:19, 2020-02-09 03:29:23, 2020-02-08 19:19:49 PST, 2020-02-08 19:29:23 PST,574, Transport, , 
2/9/20 3:29, 2020-02-09 03:31:33, 2020-02-08 19:29:23 PST, 2020-02-08 19:31:33 PST,130, Walk, , 
2/9/20 3:31, 2020-02-09 03:47:42, 2020-02-08 19:31:34 PST, 2020-02-08 19:47:42 PST,968, Groceries, Target, 
2/9/20 3:47, 2020-02-09 03:59:01, 2020-02-08 19:47:42 PST, 2020-02-08 19:59:01 PST,679, Transport, , 
2/9/20 3:59, 2020-02-09 18:03:29, 2020-02-08 19:59:01 PST, 2020-02-09 10:03:29 PST,50668, Home, , 
2/9/20 10:16, 2020-02-09 17:40:42, 2020-02-09 02:16:54 PST, 2020-02-09 09:40:42 PST,26628, Sleep, , 
2/9/20 18:05, 2020-02-09 18:07:31, 2020-02-09 10:05:05 PST, 2020-02-09 10:07:31 PST,146, Transport, , 
2/9/20 18:07, 2020-02-09 20:56:31, 2020-02-09 10:07:31 PST, 2020-02-09 12:56:31 PST,10140, Studying, Robert E. Kennedy Library- 24/7 Study Room, 
2/9/20 20:56, 2020-02-09 21:00:29, 2020-02-09 12:56:31 PST, 2020-02-09 13:00:29 PST,238, Transport, , 
2/9/20 21:00, 2020-02-09 22:08:43, 2020-02-09 13:00:29 PST, 2020-02-09 14:08:43 PST,4094, Groceries, Ferrini, 
2/9/20 22:08, 2020-02-09 22:16:11, 2020-02-09 14:08:43 PST, 2020-02-09 14:16:11 PST,448, Transport, , 
2/9/20 22:16, 2020-02-09 22:48:03, 2020-02-09 14:16:11 PST, 2020-02-09 14:48:03 PST,1912, Home, , 
2/9/20 22:48, 2020-02-09 22:51:52, 2020-02-09 14:48:36 PST, 2020-02-09 14:51:52 PST,196, Transport, , 
2/9/20 22:51, 2020-02-10 00:11:29, 2020-02-09 14:51:52 PST, 2020-02-09 16:11:29 PST,4777, Run, Cal Poly Recreation Center, 
