NAME,S1901_C04_012E
07628,49929
07630,60972
07631,64250
07632,76125
07640,25102
07641,76406
07642,65104
07643,56764
07644,50294
07645,55625
07646,54310
07647,38594
07648,31375
07649,73750
07650,48500
07652,54496
07656,45145
07657,38241
07660,53917
07661,47115
07662,74792
07663,67974
07666,54744
07670,96250
07675,62885
07676,73854
07677,83021
07701,61316
07702,44444
07704,130481
07711,67368
07712,47112
07716,64564
07717,65313
07718,106250
07719,61180
07720,83333
07721,72000
07722,78977
07723,24554
07724,57083
07726,50625
07727,61445
07728,43836
07730,42875
07731,43109
07732,49760
07733,60333
07734,43405
07735,56599
07737,64012
07738,27604
07740,48558
07746,45648
07747,61414
07748,60043
07750,79000
07751,100891
07753,57824
07755,41406
07756,57889
07757,68345
07758,29657
07760,88393
07762,61650
07764,39141
07801,34935
07803,73056
07821,68203
07823,29154
07825,54351
07826,63482
07827,44485
07828,56122
07830,60000
07832,75643
07834,74901
07836,83705
07838,54750
07840,51755
07843,64688
07847,71806
07848,57083
07849,60861
07850,48214
07852,70662
07853,71705
07856,61011
07857,58382
07860,47568
07863,42118
07865,94800
07866,59801
07869,73402
07871,67311
07874,61100
07876,74327
07878,92375
07882,48139
07885,77418
07901,74808
07920,79123
07921,84925
07922,51793
07924,84079
07927,105411
07928,77679
07931,67150
07932,47293
07933,44778
07936,75363
07940,67672
07945,97844
07946,85625
07950,97797
07960,95898
07974,83938
07981,73611
08001,59722
08002,51418
08003,60156
08004,59665
08005,41844
08006,48750
08007,25852
08008,50800
08009,34421
08010,45327
08012,54079
08015,50409
08016,45684
08019,57813
08021,37612
08022,54239
08023,42750
08026,33929
08027,46164
08028,43315
08029,25267
08030,28980
08031,44488
08033,54074
08034,62733
08035,59600
08036,70841
08037,38391
08038,27156
08043,44101
08045,24297
08046,51975
08048,60094
08049,59704
08050,60632
08051,61645
08052,48484
08053,63986
08054,65865
08055,60867
08056,51689
08057,54359
08059,47344
08060,64128
08061,102647
08062,57308
08063,46071
08065,68244
08066,34411
08067,54167
08068,44060
08069,33396
08070,43041
08071,43083
08072,45435
08075,49433
08077,76065
08078,51100
08079,25932
08080,58214
08081,51928
08083,47554
08084,50051
08085,62132
08086,49659
08087,51250
08088,43486
08089,37059
08090,72452
08091,36250
08092,40221
08093,34084
08094,42119
08096,44220
08097,53750
08098,56800
08102,27849
08103,18862
08104,20342
08105,16893
08106,47645
08107,38288
08108,61774
08109,43468
08110,30563
08201,48750
08202,78125
08203,42200
08204,31274
08205,51842
08210,44670
08212,75625
08215,47295
08221,56534
08223,41250
08224,85417
08225,50938
08226,44542
08230,62946
08232,22860
08234,45700
08241,54038
08242,78352
08243,57788
08244,38634
08247,59063
08251,41510
08260,38988
08270,29942
08302,30920
08310,34495
08311,20833
08312,27656
08317,71958
08318,39073
08319,68333
08321,46250
08322,60156
08323,56875
08326,35938
08330,44597
08332,26807
08340,50515
08341,24410
08343,41500
08344,52024
08345,16771
08349,40417
08353,65500
08360,37456
08361,39665
08401,22371
08402,47056
08403,70833
08406,41508
08501,67588
08502,88988
08505,70332
08511,29575
08512,53977
08514,60417
08515,58986
08518,51042
08520,42301
08525,85412
08527,47406
08530,68807
08533,33641
08534,59176
08536,87917
08540,62127
08542,92424
08550,74917
08551,55139
08553,73750
08554,57868
08555,43375
08558,52530
08559,71583
08562,48342
08608,11658
08609,18346
08610,50716
08611,27670
08618,24886
08619,63875
08620,46290
08628,63903
08629,39511
08638,32579
08640,71154
08641,64268
08648,67695
08690,57529
08691,52961
08701,32821
08721,54283
08722,55833
08723,51106
08724,47217
08730,62917
08731,53615
08732,78750
08733,50353
08734,53382
08735,40708
08736,59653
08738,72381
08740,43659
08741,56375
08742,66545
08750,76100
08751,54293
08752,53090
08753,52827
08755,35771
08757,31965
08758,54196
08759,27965
08801,71571
08802,50500
08804,50000
08805,56259
08807,57813
08809,64196
08810,91776
08812,80444
08816,52419
08817,58878
08820,59895
08822,54587
08823,65491
08824,60100
08825,50750
08826,71477
08827,63750
08828,75250
08829,56042
08830,45915
08831,47827
08833,70174
08835,39635
08837,56250
08840,67847
08844,83418
08846,66250
08848,62788
08850,61862
08852,72766
08853,92188
08854,57408
08857,54332
08859,63312
08861,36726
08863,60230
08865,43869
08867,57292
08869,58000
08872,43714
08873,71092
08876,68689
08879,57339
08880,52284
08882,48464
08884,32875
08886,53618
08887,90446
08889,58956
08901,33831
08902,59982
08904,64957
10001,89723
10002,32489
10003,105808
10004,159518
10005,185125
10006,165901
10007,176892
10009,68564
10010,100658
10011,108881
10012,100700
10013,109132
10014,112217
10016,109311
10017,112676
10018,108627
10019,81086
10021,91744
10022,111875
10023,97806
10024,101800
10025,74682
10026,53967
10027,50681
10028,105027
10029,24688
10030,30079
10031,54385
10032,46207
10033,57603
10034,50744
10035,17454
10036,83882
10037,36595
10038,91723
10039,56476
10040,43847
10044,90855
10065,118750
10069,183373
10075,93590
10128,95738
10162,99396
10280,138938
10282,214243
10301,50165
10302,25990
10303,43654
10304,32175
10305,50103
10306,43137
10307,50451
10308,45893
10309,46506
10310,48227
10312,48848
10314,49044
10451,22757
10452,18678
10453,17105
10454,13973
10455,17708
10456,14907
10457,17660
10458,22064
10459,19353
10460,17670
10461,40633
10462,42066
